Model,ROC AUC (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.932316563466531,0.9382794740897294,0.13541150093078613
CART (Gini),0.9218186483380106,0.9244645563691665,0.12591242790222168
Random Forest (CPU),0.9936133413297205,0.968323496618185,1.3838849067687988
XGBoost (CPU),0.9924136827118201,0.9665135962730671,0.4362828731536865
XGBoost (GPU),0.9922501721642796,0.9666387733932502,2.8605170249938965
