Model,RMSE (CV),R2 Score (CV),Vrijeme (s)
CART Regressor,14.26491372217285,-0.33729567918659964,15.268997192382812
Random Forest Regressor (CPU),11.387583836502511,0.14774629221202545,129.12724494934082
XGBoost Regressor (CPU),10.645024490356445,0.2556496858596802,1.092484474182129
XGBoost Regressor (GPU),10.645024299621582,0.25564971566200256,4.824383497238159
