Model,ROC AUC (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.6101914556694529,0.837782746336406,4.432071924209595
CART (Gini),0.611119797807931,0.8386094366433955,4.175431489944458
Random Forest (CPU),0.7825526683333119,0.8697382532352383,6.551522970199585
XGBoost (CPU),0.779432969150356,0.8440647160467373,3.2451515197753906
XGBoost (GPU),0.7818904922379797,0.8449120718901625,6.842547416687012
