Model,ROC AUC (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.7706944291593572,0.8169547372866661,8.552228927612305
CART (Gini),0.7690018575383046,0.8158859398356235,8.453547239303589
Random Forest (CPU),0.8901702316135713,0.8428332311047295,23.35763955116272
XGBoost (CPU),0.9277358536221018,0.8435130644750231,2.5630617141723633
XGBoost (GPU),0.9277469018510727,0.843573377328289,6.018907070159912
