Model,Accuracy (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.9400000000000001,0.9402193732193732,0.048586368560791016
CART (Gini),0.9400000000000001,0.9402193732193732,0.04045534133911133
Random Forest (CPU),0.9600000000000002,0.9602193732193733,1.1425518989562988
XGBoost (CPU),0.9400000000000001,0.939026492026492,0.5156168937683105
XGBoost (GPU),0.9466666666666667,0.9457604987604988,2.678614377975464
Chefboost (ID3),0.9333333333333333,0.9333473563473564,16.595542430877686
Chefboost (C4.5),0.9333333333333333,0.9333473563473564,15.287516593933105
