Model,Accuracy (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.8045283868673698,0.8039873590042987,0.5292661190032959
CART (Gini),0.8019051795661964,0.8006957747046984,0.4779319763183594
Random Forest (CPU),0.8637864169728576,0.8456148391520129,1.8729579448699951
XGBoost (CPU),0.8531610762119236,0.839197253258537,1.9939727783203125
XGBoost (GPU),0.8542401327486072,0.8409941130625013,11.887224197387695
