Model,RMSE (CV),R2 Score (CV),Vrijeme (s)
CART Regressor,0.8124947523817925,0.12884443742763427,0.45714259147644043
Random Forest Regressor (CPU),0.5956493770288334,0.5337970241777782,3.169286012649536
XGBoost Regressor (CPU),0.6282589375972748,0.48098047971725466,0.8546648025512695
XGBoost Regressor (GPU),0.6282589673995972,0.48098044395446776,4.636371374130249
