Model,Accuracy (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.8045283868673698,0.8039873590042987,0.8713688850402832
CART (Gini),0.8019051795661964,0.8006957747046984,0.7982072830200195
Random Forest (CPU),0.8637864169728576,0.8456148391520129,12.142290115356445
XGBoost (CPU),0.8531610762119236,0.839197253258537,7.793140411376953
XGBoost (GPU),0.8542401327486072,0.8409941130625013,4.3574182987213135
