Model,ROC AUC (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.932316563466531,0.9382794740897294,0.23934054374694824
CART (Gini),0.9218186483380106,0.9244645563691665,0.24910449981689453
Random Forest (CPU),0.9936133413297205,0.968323496618185,4.475277423858643
XGBoost (CPU),0.9924136827118201,0.9665135962730671,1.4373588562011719
XGBoost (GPU),0.9922501721642796,0.9666387733932502,1.204049825668335
