Model,RMSE (CV),R2 Score (CV),Vrijeme (s)
CART Regressor,14.26491372217285,-0.33729567918659964,25.682061910629272
Random Forest Regressor (CPU),11.387583836502511,0.14774629221202545,1393.0126762390137
XGBoost Regressor (CPU),10.645024490356445,0.2556496858596802,6.020184755325317
XGBoost Regressor (GPU),10.645024299621582,0.25564971566200256,2.151331901550293
