Model,RMSE (CV),R2 Score (CV),Vrijeme (s)
CART Regressor,10.963040708521484,-0.0666635884705185,87.24725079536438
Random Forest Regressor (CPU),7.988818970071743,0.4335595045543563,5095.856593847275
XGBoost Regressor (CPU),7.762830924987793,0.46520439982414247,7.91426420211792
XGBoost Regressor (GPU),7.762830924987793,0.46520439982414247,4.750691652297974
