Model,Accuracy (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.9400000000000001,0.9402193732193732,0.2578606605529785
CART (Gini),0.9400000000000001,0.9402193732193732,0.1436305046081543
Random Forest (CPU),0.9600000000000002,0.9602193732193733,4.209213018417358
XGBoost (CPU),0.9400000000000001,0.939026492026492,2.6069419384002686
XGBoost (GPU),0.9466666666666667,0.9457604987604988,1.81679368019104
Chefboost (ID3),0.9333333333333333,0.9333473563473564,17.65087914466858
Chefboost (C4.5),0.9333333333333333,0.9333473563473564,17.640679597854614
