Model,ROC AUC (CV),F1-Score (CV),Vrijeme (s)
CART (Entropy),0.7706944291593572,0.8169547372866661,14.66858172416687
CART (Gini),0.7690018575383046,0.8158859398356235,15.328914880752563
Random Forest (CPU),0.8901701530776231,0.8428332311047295,248.77017450332642
XGBoost (CPU),0.927735827407583,0.8435130644750231,5.204721450805664
XGBoost (GPU),0.9277469018510727,0.843573377328289,3.961667060852051
